ID,Chiku,遺跡番号,調査番号,遺物番号,No,S,V,H,X,Y,Z,Date,Pen,Size,Mark,FileLink,Soui,Syubetu,拡張表示使用,拡張線幅,拡張線色,拡張点色,レイヤー名,MARKERX,MARKERY,LAYERPAGE,INVISIBLE,DELETEFLG,HANDFLG,器械点,バック点,器械高,ミラー高,メディア
103,SK211A,,,,,,,,-137201.778,102124.652,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
104,SK211A',,,,,,,,-137201.290,102125.783,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
105,SK214A,,,,,,,,-137205.856,102119.673,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
106,SK214A',,,,,,,,-137206.569,102120.174,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
107,SK215A,,,,,,,,-137204.921,102121.340,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
108,SK215A',,,,,,,,-137205.614,102121.039,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
109,SK220A,,,,,,,,-137199.641,102122.486,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
110,SK220A',,,,,,,,-137200.205,102123.740,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
111,SK221A,,,,,,,,-137197.643,102130.410,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
112,SK221A',,,,,,,,-137197.839,102131.089,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
113,SK224A,,,,,,,,-137202.857,102085.653,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
114,SK224A',,,,,,,,-137202.546,102087.577,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
115,SK226A,,,,,,,,-137205.784,102123.750,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
116,SK226A',,,,,,,,-137204.762,102124.572,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
117,SK227A,,,,,,,,-137199.708,102105.230,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
118,SK227A',,,,,,,,-137200.563,102104.213,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
119,SK229A,,,,,,,,-137181.994,102103.907,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
120,SK229A',,,,,,,,-137182.392,102103.325,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
121,SK230A,,,,,,,,-137177.625,102101.708,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
122,SK230A',,,,,,,,-137178.556,102101.678,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
123,SK231・235,,,,,,,,-137195.012,102085.709,1.923,,1,1.000,1,,2-2,・236A,False,,,0,1               ,0,0,0,False,False,False,,,,,
124,SK231・235,,,,,,,,-137192.642,102084.006,1.923,,1,1.000,1,,2-2,・236A',False,,,0,1               ,0,0,0,False,False,False,,,,,
125,SK237A,,,,,,,,-137195.471,102107.874,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
126,SK237A',,,,,,,,-137196.923,102106.469,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
127,SK238A,,,,,,,,-137165.269,102106.918,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
128,SK238A',,,,,,,,-137162.965,102106.950,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
129,SK241A,,,,,,,,-137192.293,102085.562,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
130,SK241A',,,,,,,,-137192.700,102086.504,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
131,SK242A,,,,,,,,-137199.037,102129.337,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
